x_position_mid [m],u_velo [m/s],y_position_mid [m],vm_velo [m/s],psi_hat [rad],r_angvelo [rad/s]
29.8480773511208,0.122204657148054,6.93457688421144,0.0289532853235751,0.0644076044909017,-0.0055209343036906
29.86008689132968,0.12239231156846589,6.938408933417222,0.03199860435643191,0.06396507387824939,-0.003564138926360431
29.872095752643617,0.12252097303410413,6.942512389301061,0.03452397457191615,0.06366609392052865,-0.002535180577269945
29.884101495479676,0.12261720666740837,6.946852322456718,0.03683038389115687,0.06344203299916959,-0.002013825056133499
29.896102387073352,0.12269856642988042,6.951418487811024,0.039123757950910006,0.06325469023461217,-0.001769392258570362
29.90809714828204,0.12277575760609989,6.9562166627163124,0.0415295118977924,0.06308367984536156,-0.0016694142004784758
29.920084796818536,0.12285548545959227,6.961262228297636,0.04412257007594565,0.06291863758551053,-0.001640690094374151
29.93187474805118,0.11913720588882151,6.966563783696465,0.04692992501281579,0.06275589630589325,-0.0016171528957251882
29.9431877792072,0.1136471318919192,6.9721264225909225,0.049974528233924016,0.06259535229140373,-0.0015935175881120261
29.95393383898781,0.1081553587592331,6.977969987298489,0.053289546685634695,0.0624372274831392,-0.0015685602681442133
29.964110958490462,0.10266069328820966,6.984123768568762,0.056918720231068226,0.062281668293602765,-0.0015420779045315673
29.973716313461196,0.09714916957267268,6.990619665179203,0.06086647613984045,0.06213213929559058,-0.0014605440829687675
29.9827449209479,0.09159591010852719,6.997491345053837,0.06517366651210085,0.06199239678236552,-0.0013544607948685022
29.991192783585312,0.08606205466498981,7.004783322448355,0.07002609562766898,0.06185584255566918,-0.0013663158980512383
29.99905756621369,0.08053227244901182,7.012556215799753,0.07554034282215481,0.06171699439856592,-0.0013933945358143845
30.006334935963014,0.07499491904862778,7.020881367663875,0.08182032402204861,0.06157804609799875,-0.0013797180137738833
30.01301878755279,0.06944498402337992,7.029843369088514,0.0890382321104371,0.06144121114403814,-0.001355121637982937
30.019101454476505,0.063880684316981,7.039547353028144,0.09743625209978805,0.06130694960484498,-0.0013297588274382454
30.024573469052466,0.05830187206123963,7.0501269225507315,0.10734844012206027,0.061175107390193474,-0.0013076840895282131
30.029423037487245,0.05271028809189134,7.061755732526399,0.11925365718090628,0.061045135238722556,-0.0012927804856460248
30.033635207627423,0.04711036719083103,7.0746653309861856,0.13385044606767937,0.060916177774551605,-0.0012883749655663627
30.037190467259105,0.04151056181621694,7.089174036013003,0.15221161288056886,0.0607868914608664,-0.0013003331062475133
30.04006229498092,0.0359256200862817,7.105736550103206,0.17606140786562074,0.06065523085701071,-0.001337283747900793
30.04221267728599,0.030382750788003895,7.125034550760963,0.20836362608566406,0.0605180617439346,-0.001414050306023142
30.043583041104746,0.02493317782784779,7.148158084356511,0.2546822430802648,0.060370114100586625,-0.0015575109445909586
30.04407387555727,0.019688574882226525,7.177014134671836,0.3268269994140839,0.06020193110759566,-0.0018149405044432924
30.04348981160197,0.014983010131170198,7.215419262188431,0.455045756566659,0.059988715663868986,-0.0018492062050776662
