parameter,value,upperlim(original),lowerlim(original),upperlim,lowerlim
massx_nd,0.0467,0.03269,0.06071,0.016345,0.030355
massy_nd,0.2579,0.18053,0.33527,0.090265,0.167635
IzzJzz_nd,0.0286,0.02002,0.03718,0.01001,0.01859
xuu_nd,-0.02139,-0.02139,-0.02139,-0.010695,-0.010695
xvr_nd,0.4535,-4.535,4.535,-2.2675,2.2675
yv_nd,-0.3728,-3.728,-0.03728,-1.864,-0.01864
nv_nd,0.116,-1.16,1.16,-0.58,0.58
yr_nd,-0.1458,-1.458,1.458,-0.729,0.729
nr_nd,-0.04849,-0.4849,-0.004849,-0.24245,-0.0024245
coeff_drag_sway,0.9665,-9.665,9.665,-4.8325,4.8325
cry_cross_flow,2.217,-22.17,22.17,-11.085,11.085
crn_cross_flow,0.8097,-8.097,8.097,-4.0485,4.0485
coeff_drag_aft,-0.03189,-0.3189,0.3189,-0.15945,0.15945
kt_coeff0,0.3278,-3.278,3.278,-1.639,1.639
kt_coeff1,-0.3223,-3.223,3.223,-1.6115,1.6115
kt_coeff2,-0.156,-1.56,1.56,-0.78,0.78
t_prop,0.22,0.022,2.2,0.011,1.1
w_prop_zero,0.614,0.0614,6.14,0.0307,3.07
tau_prop,0.871,-8.71,8.71,-4.355,4.355
coeff_cp_prop,-0.359,-3.59,3.59,-1.795,1.795
xp_prop_nd,-0.517,-5.17,5.17,-2.585,2.585
ai_coeff_prop0,-7.9E-05,-0.00079,0.00079,-0.000395,0.000395
ai_coeff_prop1,0.00799,-0.0799,0.0799,-0.03995,0.03995
ai_coeff_prop2,-0.00493,-0.0493,0.0493,-0.02465,0.02465
ai_coeff_prop3,-0.00587,-0.0587,0.0587,-0.02935,0.02935
ai_coeff_prop4,-0.000558,-0.00558,0.00558,-0.00279,0.00279
ai_coeff_prop5,0.00508,-0.0508,0.0508,-0.0254,0.0254
ai_coeff_prop6,0.001702,-0.01702,0.01702,-0.00851,0.00851
ai_coeff_prop7,0.000916,-0.00916,0.00916,-0.00458,0.00458
bi_coeff_prop0,3.5E-05,-0.00035,0.00035,-0.000175,0.000175
bi_coeff_prop1,-0.00317,-0.0317,0.0317,-0.01585,0.01585
bi_coeff_prop2,0.00196,-0.0196,0.0196,-0.0098,0.0098
bi_coeff_prop3,0.00233,-0.0233,0.0233,-0.01165,0.01165
bi_coeff_prop4,0.000225,-0.00225,0.00225,-0.001125,0.001125
bi_coeff_prop5,-0.00216,-0.0216,0.0216,-0.0108,0.0108
bi_coeff_prop6,6.27E-05,-0.000627,0.000627,-0.0003135,0.0003135
bi_coeff_prop7,6.25E-05,-0.000625,0.000625,-0.0003125,0.0003125
ci_coeff_prop0,-0.251,-2.51,2.51,-1.255,1.255
ci_coeff_prop1,-0.175,-1.75,1.75,-0.875,0.875
ci_coeff_prop2,0.33,-3.3,3.3,-1.65,1.65
ci_coeff_prop3,-0.233,-2.33,2.33,-1.165,1.165
t_rudder,0.19,-1.9,1.9,-0.95,0.95
ah_rudder,0.393,-3.93,3.93,-1.965,1.965
xh_rudder_nd,-0.45,-4.5,4.5,-2.25,2.25
lr_rudder_nd,-1.08,-10.8,10.8,-5.4,5.4
kx_rudder,0.288,-2.88,2.88,-1.44,1.44
kx_rudder_reverse,0.144,-1.44,1.44,-0.72,0.72
epsilon_rudder,1.42,-14.2,14.2,-7.1,7.1
cpr_rudder,-0.176,-1.76,1.76,-0.88,0.88
gammaN_rudder,0.4406,-4.406,4.406,-2.203,2.203
gammaP_rudder,0.3506,-3.506,3.506,-1.753,1.753
KT_bow_forward,0.36,-3.6,3.6,-1.8,1.8
KT_bow_reverse,-0.45,-4.5,4.5,-2.25,2.25
aY_bow,-5.83,-58.3,58.3,-29.15,29.15
aN_bow,-3.44,-34.4,34.4,-17.2,17.2
KT_stern_forward,0.17,-1.7,1.7,-0.85,0.85
KT_stern_reverse,-0.21,-2.1,2.1,-1.05,1.05
aY_stern,-2.56,-25.6,25.6,-12.8,12.8
aN_stern,-7.46,-74.6,74.6,-37.3,37.3
XX0,-0.010466204998895,-0.10466204998895,0.10466204998895,-0.052331024994475,0.052331024994475
XX1,-0.821991956431999,-8.21991956431999,8.21991956431999,-4.10995978216,4.10995978216
XX3,0.060273613257498,-0.60273613257498,0.60273613257498,-0.30136806628749,0.30136806628749
XX5,0.044558221361039,-0.44558221361039,0.44558221361039,-0.222791106805195,0.222791106805195
YY1,1.05817208251723,-10.5817208251723,10.5817208251723,-5.29086041258613,5.29086041258613
YY3,0.002321463294909,-0.02321463294909,0.02321463294909,-0.011607316474545,0.011607316474545
YY5,-0.015293451706739,-0.15293451706739,0.15293451706739,-0.076467258533695,0.076467258533695
NN1,-0.03072779808741,-0.3072779808741,0.3072779808741,-0.15363899043705,0.15363899043705
NN2,0.104116370350922,-1.04116370350922,1.04116370350922,-0.52058185175461,0.52058185175461
NN3,-0.000880301475844,-0.008803014758436,0.008803014758436,-0.004401507379218,0.004401507379218
