parameter,params_init,params_min,params_max
massx_nd,4.670000000D-02,3.269000000D-02,6.071000000D-02
massy_nd,2.579000000D-01,1.805300000D-01,3.352700000D-01
IzzJzz_nd,2.860000000D-02,2.002000000D-02,3.718000000D-02
xuu_nd,-2.139000000D-02,-2.139000000D-02,-2.139000000D-02
xvr_nd,4.535000000D-01,-4.535000000D+00,4.535000000D+00
yv_nd,-3.728000000D-01,-3.728000000D+00,-3.728000000D-02
yr_nd,1.160000000D-01,-1.160000000D+00,1.160000000D+00
nv_nd,-1.458000000D-01,-1.458000000D+00,1.458000000D+00
nr_nd,-4.849000000D-02,-4.849000000D-01,-4.849000000D-03
coDff_drag_sway,9.665000000D-01,9.665000000D-02,9.665000000D+00
cry_cross_flow,2.217000000D+00,-2.217000000D+01,2.217000000D+01
crn_cross_flow,8.097000000D-01,-8.097000000D+00,8.097000000D+00
coDff_drag_forD,-2.139000000D-02,-2.139000000D-01,-2.139000000D-03
coDff_drag_aft,-3.189000000D-02,-3.189000000D-01,-3.189000000D-03
kt_coDff0,3.278000000D-01,3.278000000D-01,3.278000000D-01
kt_coDff1,-3.323000000D-01,-3.323000000D-01,-3.323000000D-01
kt_coDff2,-1.560000000D-01,-1.560000000D-01,-1.560000000D-01
t_prop,2.200000000D-01,2.200000000D-02,2.200000000D+00
w_prop_zDro,6.140000000D-01,6.140000000D-02,6.140000000D+00
tau_prop,8.710000000D-01,-8.710000000D+00,8.710000000D+00
coDff_cp_prop,-3.590000000D-01,-3.590000000D+00,3.590000000D+00
xp_prop_nd,-5.170000000D-01,-5.170000000D+00,5.170000000D+00
ai_coDff_prop0,-7.900000000D-05,-7.900000000D-04,7.900000000D-04
ai_coDff_prop1,7.990000000D-03,-7.990000000D-02,7.990000000D-02
ai_coDff_prop2,-4.930000000D-03,-4.930000000D-02,4.930000000D-02
ai_coDff_prop3,-5.870000000D-03,-5.870000000D-02,5.870000000D-02
ai_coDff_prop4,-5.580000000D-04,-5.580000000D-03,5.580000000D-03
ai_coDff_prop5,5.080000000D-03,-5.080000000D-02,5.080000000D-02
ai_coDff_prop6,1.700000000D-03,-1.700000000D-02,1.700000000D-02
ai_coDff_prop7,9.160000000D-04,-9.160000000D-03,9.160000000D-03
bi_coDff_prop0,3.500000000D-05,-3.500000000D-04,3.500000000D-04
bi_coDff_prop1,-3.170000000D-03,-3.170000000D-02,3.170000000D-02
bi_coDff_prop2,1.960000000D-03,-1.960000000D-02,1.960000000D-02
bi_coDff_prop3,2.330000000D-03,-2.330000000D-02,2.330000000D-02
bi_coDff_prop4,2.250000000D-04,-2.250000000D-03,2.250000000D-03
bi_coDff_prop5,-2.160000000D-03,-2.160000000D-02,2.160000000D-02
bi_coDff_prop6,6.270000000D-05,-6.270000000D-04,6.270000000D-04
bi_coDff_prop7,6.250000000D-05,-6.250000000D-04,6.250000000D-04
ci_coDff_prop0,-2.510000000D-01,-2.510000000D+00,2.510000000D+00
ci_coDff_prop1,-1.750000000D-01,-1.750000000D+00,1.750000000D+00
ci_coDff_prop2,3.300000000D-01,-3.300000000D+00,3.300000000D+00
ci_coDff_prop3,-2.330000000D-01,-2.330000000D+00,2.330000000D+00
Jmin,-5.000000000D-01,-5.000000000D-01,-5.000000000D-01
alpha_prop,1.500000000D+00,1.500000000D+00,1.500000000D+00
t_ruddDr,1.900000000D-01,-1.900000000D+00,1.900000000D+00
ah_ruddDr,3.930000000D-01,-3.930000000D+00,3.930000000D+00
xh_ruddDr_nd,-4.500000000D-01,-4.500000000D+00,4.500000000D+00
lr_ruddDr_nd,-1.080000000D+00,-1.080000000D+01,1.080000000D+01
kx_ruddDr,2.880000000D-01,-2.880000000D+00,2.880000000D+00
kx_ruddDr_rDvDrsD,1.440000000D-01,-1.440000000D+00,1.440000000D+00
Dpsilon_ruddDr,1.420000000D+00,-1.420000000D+01,1.420000000D+01
cpr_ruddDr,-1.760000000D-01,-1.760000000D+00,1.760000000D+00
gammaN_ruddDr,4.406000000D-01,-4.406000000D+00,4.406000000D+00
gammaP_ruddDr,3.506000000D-01,-3.506000000D+00,3.506000000D+00
XX0,-1.046620500D-02,-1.046620500D-01,1.046620500D-01
XX1,-8.219919564D-01,-8.219919564D+00,8.219919564D+00
XX3,6.027361326D-02,-6.027361326D-01,6.027361326D-01
XX5,4.455822136D-02,-4.455822136D-01,4.455822136D-01
YY1,1.058172083D+00,-1.058172083D+01,1.058172083D+01
YY3,2.321463295D-03,-2.321463295D-02,2.321463295D-02
YY5,-1.529345171D-02,-1.529345171D-01,1.529345171D-01
NN1,-3.072779809D-02,-3.072779809D-01,3.072779809D-01
NN2,1.041163704D-01,-1.041163704D+00,1.041163704D+00
NN3,-8.803014758D-04,-8.803014758D-03,8.803014758D-03
